Model,Gorivo ,KML grad,KML autoput
KIA Rio,benzin,11.90392,15.73018
KIA Soul,benzin,11.05364,13.17934
KIA Soul,benzin,10.20336,12.7542
KIA Soul,benzin,11.05364,13.17934
KIA Sportage,benzin,8.92794,11.05364
KIA Sportage,benzin,8.5028,9.77822
KIA Stinger,benzin,9.35308,12.32906
KIA Stinger,benzin,8.92794,12.32906
KIA Stinger,benzin,7.22738,10.6285
KIA Stinger,benzin,7.22738,10.6285
LAMBORGHINI Urus,benzin,5.10168,7.22738
LAND ROVER Range Rover,benzin,6.80224,8.92794
LAND ROVER Range Rover LWB,benzin,6.80224,8.92794
LAND ROVER Range Rover LWB SVA,benzin,5.52682,8.07766
LAND ROVER Range Rover SV,benzin,5.95196,8.07766
LAND ROVER Range Rover SVA,benzin,5.95196,8.07766
LAND ROVER Range Rover Sport,benzin,7.22738,9.35308
LAND ROVER Range Rover Sport SVR,benzin,6.3771,8.5028
LEXUS GS 300,benzin,9.35308,13.60448
LEXUS GS 300 F Sport,benzin,8.92794,12.7542
LEXUS GX 460,benzin,6.3771,7.65252
LEXUS LS 500,benzin,8.07766,12.7542
LEXUS LS 500,benzin,7.65252,11.47878
LEXUS LX 570,benzin,5.52682,7.65252
LEXUS NX 300,benzin,9.35308,11.90392
LEXUS NX 300,benzin,9.35308,11.90392
LEXUS NX 300 F Sport,benzin,9.35308,11.47878
LINCOLN Continental,benzin,7.22738,11.05364
LINCOLN Continental,benzin,6.80224,10.20336
LINCOLN MKC,benzin,7.65252,10.6285
LINCOLN MKT,benzin,6.3771,8.92794
LINCOLN MKT,benzin,6.80224,10.20336
LINCOLN MKT Livery,benzin,6.80224,9.77822
MAZDA 2,benzin,12.7542,16.58046
MAZDA 2,benzin,13.60448,17.0056
MAZDA 6,benzin,9.77822,13.17934
MAZDA CX-3,benzin,12.32906,14.45476
MAZDA CX-3,benzin,11.47878,13.60448
MAZDA CX-5 2WD,benzin,9.77822,11.90392
MAZDA CX-5 4WD,benzin,9.35308,11.47878
MAZDA CX-9,benzin,9.35308,11.90392
MAZDA CX-9,benzin,8.5028,11.05364
MAZDA MX-5,benzin,11.05364,14.45476
MAZDA MX-5,benzin,11.05364,14.8799
MERCEDES-BENZ AMG C63,benzin,7.22738,10.20336
MERCEDES-BENZ AMG C63,benzin,7.22738,11.05364
MERCEDES-BENZ AMG C63,benzin,7.65252,11.47878
MERCEDES-BENZ AMG C63,benzin,7.22738,10.20336
MERCEDES-BENZ AMG C63,benzin,7.22738,11.05364
MERCEDES-BENZ AMG C63,benzin,7.65252,11.47878
MERCEDES-BENZ AMG C63 S,benzin,7.22738,10.20336
MERCEDES-BENZ AMG C63 S,benzin,7.22738,11.05364
MERCEDES-BENZ AMG C63 S,benzin,7.65252,11.47878
MERCEDES-BENZ AMG C63 S,benzin,7.22738,10.20336
MERCEDES-BENZ AMG C63 S,benzin,7.22738,11.05364
MERCEDES-BENZ AMG C63 S,benzin,7.65252,11.47878
MERCEDES-BENZ AMG CLA45 4Matic,benzin,9.77822,12.7542
MERCEDES-BENZ AMG E63 S 4Matic,benzin,6.3771,9.77822
MERCEDES-BENZ AMG E63 S 4Matic,benzin,6.80224,9.77822
MERCEDES-BENZ AMG E63 S 4Matic,benzin,6.3771,9.77822
MERCEDES-BENZ AMG E63 S 4Matic,benzin,6.80224,9.77822
MERCEDES-BENZ AMG G63,benzin,5.52682,6.3771
MERCEDES-BENZ AMG GLA45 4Matic,benzin,9.35308,11.90392
MERCEDES-BENZ AMG GLE 43 4Matic,benzin,7.22738,9.35308
MERCEDES-BENZ AMG GLE 43 4Matic,benzin,7.22738,9.35308
MERCEDES-BENZ AMG GLE63,benzin,5.10168,7.65252
MERCEDES-BENZ AMG GLE63 S,benzin,5.95196,7.65252
MERCEDES-BENZ AMG GLE63 S,benzin,5.95196,7.65252
MERCEDES-BENZ AMG GLS63,benzin,5.52682,7.65252
MERCEDES-BENZ AMG GT,benzin,6.80224,9.35308
MERCEDES-BENZ AMG GT,benzin,6.80224,9.35308
MERCEDES-BENZ AMG GT C,benzin,6.3771,8.92794
MERCEDES-BENZ AMG GT C,benzin,6.3771,8.92794
MERCEDES-BENZ AMG GT R,benzin,6.3771,8.5028
MERCEDES-BENZ AMG GT R,benzin,6.3771,8.5028
MERCEDES-BENZ AMG GT S,benzin,6.80224,9.35308
MERCEDES-BENZ AMG GT S,benzin,6.80224,9.35308
MERCEDES-BENZ AMG S65,benzin,5.52682,9.35308
MERCEDES-BENZ AMG S65,benzin,5.52682,8.92794
MERCEDES-BENZ AMG S65,benzin,5.95196,8.92794
MERCEDES-BENZ AMG SL63,benzin,6.3771,9.77822
MERCEDES-BENZ G550,benzin,5.52682,7.22738
MERCEDES-BENZ GLE400 4Matic,benzin,7.22738,9.77822
MERCEDES-BENZ GLS450 4Matic,benzin,6.80224,9.35308
MERCEDES-BENZ GLS550 4Matic,benzin,5.95196,8.07766
MERCEDES-BENZ Maybach S650,benzin,5.52682,8.92794
MERCEDES-BENZ S450,benzin,8.07766,11.90392
MERCEDES-BENZ S450 4Matic,benzin,7.65252,11.90392
MERCEDES-BENZ SL450,benzin,8.5028,11.90392
MERCEDES-BENZ SL550,benzin,7.22738,10.6285
MERCEDES-BENZ SLC300,benzin,9.77822,13.60448
MINI Cooper Clubman All4,benzin,9.35308,13.60448
MINI Cooper Clubman All4,benzin,9.77822,13.17934
MINI Cooper Countryman,benzin,10.20336,14.02962
MINI Cooper Countryman,benzin,10.20336,13.60448
MINI Cooper Countryman All4,benzin,9.35308,13.60448
MINI Cooper Countryman All4,benzin,9.77822,12.7542
MINI JCW Countryman All4,benzin,8.92794,12.7542
MINI JCW Countryman All4,benzin,9.35308,12.7542
MINI John Cooper Works Clubman All4,benzin,8.92794,12.7542
MINI John Cooper Works Clubman All4,benzin,9.77822,13.17934
MINI John Cooper Works Convertible,benzin,9.35308,13.17934
MINI John Cooper Works Convertible,benzin,10.6285,14.02962
MINI John Cooper Works Hardtop,benzin,9.77822,13.60448
MINI John Cooper Works Hardtop,benzin,10.6285,13.60448
NISSAN 370Z,benzin,7.22738,11.05364
NISSAN 370Z,benzin,8.07766,11.05364
NISSAN 370Z Roadster,benzin,7.65252,10.6285
NISSAN Armada,benzin,5.95196,8.07766
NISSAN Armada,benzin,5.52682,7.65252
NISSAN Frontier,benzin,7.22738,9.35308
NISSAN Frontier,benzin,8.07766,9.77822
NISSAN Frontier,benzin,6.80224,9.77822
NISSAN Frontier,benzin,6.3771,8.92794
NISSAN Frontier,benzin,6.80224,9.35308
NISSAN Frontier,benzin,6.80224,8.92794
NISSAN GT-R,benzin,6.80224,9.35308
NISSAN Maxima,benzin,8.5028,12.7542
NISSAN NV200,benzin,10.20336,11.05364
NISSAN NV200,benzin,9.77822,11.05364
NISSAN Pathfinder 4WD Platinum,benzin,8.07766,11.05364
NISSAN Rogue Hybrid,benzin,14.02962,14.8799
NISSAN Rogue Hybrid,benzin,13.17934,14.45476
NISSAN Sentra,benzin,11.47878,14.02962
NISSAN Sentra Nismo,benzin,10.6285,13.17934
NISSAN Sentra Nismo,benzin,10.6285,12.7542
NISSAN Titan,benzin,6.3771,8.92794
NISSAN Titan,benzin,6.3771,8.92794
NISSAN Titan Pro-4X,benzin,6.3771,8.5028
NISSAN Versa,benzin,13.17934,16.58046
NISSAN Versa,benzin,11.47878,15.30504
PORSCHE Boxster,benzin,9.35308,12.32906
PORSCHE Boxster,benzin,8.92794,11.90392
PORSCHE Boxster GTS,benzin,8.5028,11.05364
PORSCHE Boxster GTS,benzin,8.07766,10.6285
PORSCHE Boxster S,benzin,8.92794,11.90392
PORSCHE Boxster S,benzin,8.5028,11.05364
PORSCHE Cayenne Turbo,benzin,6.3771,8.07766
PORSCHE Cayman,benzin,9.35308,12.32906
PORSCHE Cayman,benzin,8.92794,11.90392
PORSCHE Cayman GTS,benzin,8.5028,11.05364
PORSCHE Cayman GTS,benzin,8.07766,10.6285
PORSCHE Cayman S,benzin,8.92794,11.90392
PORSCHE Cayman S,benzin,8.5028,11.05364
PORSCHE Panamera GTS,benzin,6.80224,9.77822
PORSCHE Panamera GTS ST,benzin,6.3771,9.35308
PORSCHE Panamera Turbo,benzin,7.65252,10.6285
PORSCHE Panamera Turbo Executive,benzin,7.65252,10.6285
PORSCHE Panamera Turbo ST,benzin,7.65252,9.77822
ROLLS-ROYCE Cullinan,benzin,5.10168,8.5028
ROLLS-ROYCE Dawn,benzin,5.10168,7.65252
ROLLS-ROYCE Ghost,benzin,5.10168,7.65252
ROLLS-ROYCE Ghost EWB,benzin,5.10168,7.65252
ROLLS-ROYCE Phantom,benzin,5.10168,8.5028
ROLLS-ROYCE Phantom EWB,benzin,5.10168,8.5028
ROLLS-ROYCE Wraith,benzin,5.10168,7.65252
ROUSH F150,benzin,4.67654,6.3771
ROUSH F150,benzin,4.67654,6.3771
ROUSH Stage 3 Mustang,benzin,5.52682,8.5028
ROUSH Stage 3 Mustang,benzin,5.10168,8.07766
SUBARU Ascent,benzin,8.92794,11.47878
